DATASET 2. Raw data of the DUAL TASK EXPERIMENT.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ExperimentName,Subject,AgeSubj,HandenesSubj,Procedure[Block],CueDur[Trial],RespExpTask1.CRESP[Trial],RespExpTask2.CRESP[Trial],RespTARGET.RT[Trial],SOA[Trial],Target[Trial],RespExpTask1_RESP_CORR,RespExpTask2_RESP_CORR
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,z,m,610,0,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,z,m,714,100,3,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,z,z,786,100,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,654,0,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,z,m,610,0,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,679,0,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,m,z,945,0,7,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,m,m,728,100,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,725,100,4,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,z,m,419,0,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,m,z,661,0,8,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,m,m,720,0,7,m,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,692,100,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,z,m,716,0,4,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,350,z,m,679,0,2,z,m
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,z,z,902,100,3,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,100,m,z,901,100,6,m,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,150,z,z,832,100,2,z,z
Exp1_DualTask_TiTo_Subj1-8,10,23,dx,BlockProc2,300,m,m,753,100,6,m,m
